facility id,notification,Attorney,Total,url,violation_data,equipment
148631,P61694,NSF,5000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61694&notice_type=NOV&fac_id=148631,"OPERATING A NON-CAR CERTIFIED PHASE II VAPOR RECOVERY SYSTEM - NO IN-STATION DIAGNOSTICS INSTALLED - THROUGHPUT GREATER THAN 600,000 GALLONS PER YEAR. LATE REVERIFICATION TESTING, >100,000 GALLONS PER MONTHLY - NO TEST RECORDS AFTER 4-25-12. NO RECORD OF",TP201.4 METHODOLOGY 4 AND 6 TESTING. NO PERIODIC COMPLIANCE INSPECTION AFTER  2013. NO THROUGHPUT RECORDS AFTER 2013.
148631,P64304,NSF,5000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P64304&notice_type=NOV&fac_id=148631,FAILURE TO: CONDUCT PERFORMANCE TESTING WITHIN 10 DAYS OF OPERATION - VAPOR FLOW METER OPERABILITY TESTING NOT CONDUCTED; CONDUCT/PROVIDE PERIODIC COMPLIANCE INSPECTION AFTER 2013; PROVIDE VAPOR RECOVERY TEST RECORDS FOR TEST CONDUCTED 8/12/2015; PROVIDE,MONTHLY GASOLINE THROUGHPUT RECORDS AFTER 2013.
179640,P62624,NSF,10000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P62624&notice_type=NOV&fac_id=179640,NO ASBESTOS SURVEY; NO NOTIFICATION OF ASBESTOS REMOVAL TO SCAQMD; NOT USING ACM REMOVAL PROCEDURES; NOT COLLECTING AND PLACING ACM IN LABELED LEAK-TIGHT CONTAINERS; NOT WETTING ACWM;,PERFORMED ASBESTOS REMOVAL WITHOUT A VALID CAL OSHA(DOSH) REGISTRATION  & STATE ACCREDITATION; NOT USING WORKERS WITH CERTIFIED ASBESTOS TRAINING.
179641,P62625,NSF,10000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P62625&notice_type=NOV&fac_id=179641,NO ASBESTOS SURVEY; NO NOTIFICATION OF ASBESTOS REMOVAL TO SCAQMD; NOT USING ACM REMOVAL PROCEDURES; NOT COLLECTING AND PLACING ACM IN LABELED LEAK-TIGHT CONTAINERS;,NOT WETTING ACWM; PERFORMED ASBESTOS REMOVAL WITHOUT A VALID CAL OSHA (DOSH) REGISTRATION & STATE ACCREDITATION; NOT USING WORKERS WITH CERTIFIED ASBESTOS TRAINING.
79691 ,P61445,NSF,25000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61445&notice_type=NOV&fac_id=79691 ,The company was operating two ovens without valid SCAQMD permits to operate.,drying ovens
79691 ,P62021,NSF,25000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P62021&notice_type=NOV&fac_id=79691 ,Failure to submit 500-ACC and 500-SAM to SCAQMD for required reporting period.,
99783 ,P60652,MJR,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60652&notice_type=NOV&fac_id=99783 ,Operating one in use diesel fueled ICE >50 hp located within 100 meters of a school without demonstrating compliance with diesel PM standards.,
99783 ,P60653,MJR,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60653&notice_type=NOV&fac_id=99783 ,Operating one in use diesel fueled ICE > 50 hp located within 100 meters of an existing school without demonstrating compliance with diesel PM standards.,
133718,P63114,MJR,550.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P63114&notice_type=NOV&fac_id=133718,OPERATING FACILITY WITH FAULTY NOZZLE INTERLOCK DEVICE ON #4.,
84863 ,P61987,MJR,540.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61987&notice_type=NOV&fac_id=84863 ,OPERATING A GASOLINE DISPENSING FACILITY WITH A MAJOR DEFECT - DISCONNECTION OF COMPONENT REQUIRED TO BE USED IN EXECUTIVE ORDER - DISCONNECTED VENT LINES,
164955,P58294,MJR,410.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P58294&notice_type=NOV&fac_id=164955,OPERATING A GASOLINE DISPENSING FACILITY WITH A MAJOR DEFECT AND CONTRARY TO CARB EXECUTIVE ORDERS AND MANUFACTURER'S SPECIFICATIONS: BREAKAWAY INSTALLED INCORRECTLY (UPSIDE DOWN) PUMP #3.,
163208,P64063,MJR,2750.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P64063&notice_type=NOV&fac_id=163208,"Operating two (2) boilers more than 15 years old, with rated heat input capacity greater than 400,000 BTU/hr and less than 1 million BTU/hr which do not meet the emission limit","2 Raypak model W2-0514 boilers, rated 511,500 BTU/hr"
146708,P63111,MJR,850.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P63111&notice_type=NOV&fac_id=146708,FAILURE TO SHOW COMPLIANCE BY OPERATING: NOZZLE #7 WITH UPSIDE DOWN VST BREAK AWAY; FACILITY WITHOUT KEEPING MONTHLY GASOLINE THROUGHPUT RECORDS SINCE 9/13.,
111843,P63122,MJR,550.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P63122&notice_type=NOV&fac_id=111843,OPERATING ABOVE SITE WITH UNCERTIFIED FUEL WHIP HOSE ON NOZZLE #7.,
138929,P64264,MJR,360.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P64264&notice_type=NOV&fac_id=138929,FACILITY DID NOT CONDUCT REVERIFICATION TEST ON DESIGNATED TESTING MONTH - SEPT 2015.,
