facility id,notification,Attorney,Total,url,violation_data,equipment
169323,P59968,INT,650.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59968&notice_type=NOV&fac_id=169323,FAILURE TO CONDUCT REVERIFICATION TEST IN THE CURRENT TESTING MONTH -JUNE,
113647,P56295,INT,410.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P56295&notice_type=NOV&fac_id=113647,"Operation of a stationary emergency ICE exceeding 20 hours of testing & maintenance per year, contrary to permit condition# 3.",P/O# R-F67953
171379,P59256,INT,550.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59256&notice_type=NOV&fac_id=171379,Operating a portable internal combustion engine greater than 50 brake horsepower without a permit to operate,"John Deere brand, model 4045TF275, serial number PE4045T489028"
139335,P59972,INT,630.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59972&notice_type=NOV&fac_id=139335,"OPERATING A GASOLINE DISPENSING FACILITY CONTRARY TO CARB EXECUTIVE ORDERS AND MANUFACTURER'S SPECIFICATIONS AND WITH MAJOR DEFECTS: PROCESSOR TYPE STATES ""NONE"" BUT SHOULD STATE ""VEEDER ROOT POLISHER"". INLET BALL VALVE IN THE CLOSED POSITION. IT SHOULD","BE LOCKED IN ""OPEN POSITION""."
139335,P59972,FAC,630.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59972&notice_type=NOV&fac_id=139335,"OPERATING A GASOLINE DISPENSING FACILITY CONTRARY TO CARB EXECUTIVE ORDERS AND MANUFACTURER'S SPECIFICATIONS AND WITH MAJOR DEFECTS: PROCESSOR TYPE STATES ""NONE"" BUT SHOULD STATE ""VEEDER ROOT POLISHER"". INLET BALL VALVE IN THE CLOSED POSITION. IT SHOULD","BE LOCKED IN ""OPEN POSITION""."
170607,P59257,INT,550.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59257&notice_type=NOV&fac_id=170607,Operating a portable internal combustion engine greater than 50 brake horsepower without a permit to operate.,"Cummins brand, model C8.3, serial number 45293837"
128278,P59131,INT,990.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59131&notice_type=NOV&fac_id=128278,"FAILURE TO COMPLETE VAPOR RECOVERY TESTING SEMIANNUALLY WHEN THE FACILITY HAS A MAXIMUM MONTHLY THRUPUT GREATER THAN 100,000 GALLONS OF GASOLINE. OPERATING A GASOLINE DISPENSING FACILITY WITH A MAJOR DEFECT -FAULTY INSERTION INTERLOCK ON PUMP #4.",
69079,P60016,INT,960.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60016&notice_type=NOV&fac_id=69079,Operating the emergency engine in excess of the hours allowed for maintenance and testing purposes during the 2010 and 2011 calendar years,Diesel fueled emergency engine
76581,P61156,INT,1100.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61156&notice_type=NOV&fac_id=76581,Failure to submit quarterly reports w/in 15 caldendar days of the end of the quarter,
79044,P60007,INT,800.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60007&notice_type=NOV&fac_id=79044,Failing to conduct the required annual reverification tests during the 2011 calendar year,Gasoline storage and dispensing facility
